row,sp,Dataset,TraitValue,Lat,Lon,DataContributor,TraitName;;
1,Cassiope tetragona,Atqasuk,0.062,70.46,-157.42,Robert Hollister,PlantHeight;;
2,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.076,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
3,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
4,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,0.1,67.5,-152.5,Ian Wright,PlantHeight;;
5,Cassiope tetragona,Kluane Plateau,0.072,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
6,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.138,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
7,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
49,Cassiope tetragona,Barrow, Alaska,0.06,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
50,Cassiope tetragona,BobHollisterSeeds,2.71e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
51,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
52,Cassiope tetragona,Abisko & Sheffield Database,0.1,68.33,18.85,Johannes Cornelissen,PlantHeight;;
53,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.104,69.57795,-138.92172,Haydn Thomas,PlantHeight;;
54,Cassiope tetragona,Kilpisjarvi, Finland,0.052,69.05181302,20.82079527,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
55,Cassiope tetragona,Atqasuk,0.054,70.46,-157.42,Robert Hollister,PlantHeight;;
56,Cassiope tetragona,Abisko,2.707524272,68.32305,18.86583,Mariska Te Beest,SLA;;
57,Cassiope tetragona,Kluane,0.091,61.10549,-138.6618,Isla Myers-Smith,PlantHeight;;
58,Cassiope tetragona,Atqasuk,0.064,70.46,-157.42,Robert Hollister,PlantHeight;;
59,Cassiope tetragona,Herschel Island,8.461538462,69.5749,-138.8631,Isla Myers-Smith,SLA;;
60,Cassiope tetragona,BobHollisterSeeds,1.05e-05,71.31502696,-156.6010247,BobHollisterSeeds,SeedMass;;
61,Cassiope tetragona,Atqasuk,0.056,70.46,-157.42,Robert Hollister,PlantHeight;;
62,Cassiope tetragona,Atqasuk,0.068,70.46,-157.42,Robert Hollister,PlantHeight;;
63,Cassiope tetragona,Barrow, Alaska,0.058,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
64,Cassiope tetragona,BobHollisterSeeds,2.25e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
65,Cassiope tetragona,Atqasuk,0.086,70.46,-157.42,Robert Hollister,PlantHeight;;
66,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,7.35373953988937,69,18,Ian Wright,SLA;;
67,Cassiope tetragona,Abisko,0.125,68.32305,18.86583,Mariska Te Beest,PlantHeight;;
68,Cassiope tetragona,The Global Leaf Traits,7.3537395399,68.33,18.85,Serge Sheremetev,SLA;;
69,Cassiope tetragona,Kluane,8.055555556,61.10549,-138.6618,Isla Myers-Smith,SLA;;
70,Cassiope tetragona,Abisko,2.204771372,68.32305,18.86583,Mariska Te Beest,SLA;;
71,Cassiope tetragona,Kluane,0.115,61.10549,-138.6618,Isla Myers-Smith,PlantHeight;;
72,Cassiope tetragona,Latnjajaure Sweden,0.096,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
73,Cassiope tetragona,Latnjajaure Sweden,0.087,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
74,Cassiope tetragona,Abisko,2.975877193,68.32305,18.86583,Mariska Te Beest,SLA;;
75,Cassiope tetragona,Latnjajaure Sweden,0.119,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
76,Cassiope tetragona,Barrow, Alaska,0.067,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
77,Cassiope tetragona,BobHollisterSeeds,2.7e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
78,Cassiope tetragona,Pika Camp,0.044,61.21883,-138.24579,Haydn Thomas,PlantHeight;;
79,Cassiope tetragona,Abisko & Sheffield Database,7.35373953988935,68.33,18.85,Johannes Cornelissen,SLA;;
80,Cassiope tetragona,Kytalyk Ridge,0.419,70.827512,147.46585,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,SLA;
81,Cassiope tetragona,Kluane,9.285714286,61.10549,-138.6618,Isla Myers-Smith,SLA;;
82,Cassiope tetragona,Kilpisjarvi, Finland,0.09,69.04823931,20.82722066,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
83,Cassiope tetragona,Atqasuk,0.055,70.46,-157.42,Robert Hollister,PlantHeight;;
84,Cassiope tetragona,Atqasuk,0.08,70.46,-157.42,Robert Hollister,PlantHeight;;
85,Cassiope tetragona,Latnjajaure Sweden,0.092,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
86,Cassiope tetragona,Atqasuk,0.01,70.46,-157.42,Robert Hollister,PlantHeight;;
87,Cassiope tetragona,Kytalyk Ridge,0.1,70.827512,147.46585,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
88,Cassiope tetragona,Latnjajaure Sweden,0.072,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
89,Cassiope tetragona,Herschel Island,7.5,69.5749,-138.8631,Isla Myers-Smith,SLA;;
90,Cassiope tetragona,Latnjajaure Sweden,0.085,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
91,Cassiope tetragona,Abisko,1.84083045,68.32305,18.86583,Mariska Te Beest,SLA;;
92,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,4,67.5,-152.5,Ian Wright,SLA;;
93,Cassiope tetragona,BobHollisterSeeds,2.04e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
94,Cassiope tetragona,Kluane,0.11,61.10549,-138.6618,Isla Myers-Smith,PlantHeight;;
95,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.04823931,20.82722066,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
96,Cassiope tetragona,Atqasuk,0.064,70.46,-157.42,Robert Hollister,PlantHeight;;
97,Cassiope tetragona,Qikiqtaruk-Herschel Island,7.4025,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,SLA;;
98,Cassiope tetragona,Atqasuk,0.08,70.46,-157.42,Robert Hollister,PlantHeight;;
99,Cassiope tetragona,Latnjajaure Sweden,0.05,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
100,Cassiope tetragona,Atqasuk,0.06,70.46,-157.42,Robert Hollister,PlantHeight;;
101,Cassiope tetragona,Latnjajaure Sweden,0.042,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
102,Cassiope tetragona,Latnjajaure Sweden,0.1,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
103,Cassiope tetragona,BobHollisterSeeds,2.22e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
104,Cassiope tetragona,Barrow, Alaska,0.04,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
105,Cassiope tetragona,Latnjajaure Sweden,0.076,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
106,Cassiope tetragona,Kluane,0.1,61.10549,-138.6618,Isla Myers-Smith,PlantHeight;;
107,Cassiope tetragona,Abisko,3.031078611,68.32305,18.86583,Mariska Te Beest,SLA;;
108,Cassiope tetragona,Abisko,6.262727273,68.355968,18.722872,Martin Hallinger,SLA;;
109,Cassiope tetragona,Kilpisjarvi, Finland,0.05,69.04809405,20.8331016,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
110,Cassiope tetragona,Abisko,1.772594752,68.32305,18.86583,Mariska Te Beest,SLA;;
111,Cassiope tetragona,Atqasuk,0.06,70.46,-157.42,Robert Hollister,PlantHeight;;
112,Cassiope tetragona,BobHollisterSeeds,2.43e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
113,Cassiope tetragona,Kluane,13.72222222,61.10549,-138.6618,Isla Myers-Smith,SLA;;
114,Cassiope tetragona,Latnjajaure Sweden,0.091,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
115,Cassiope tetragona,Atqasuk,0.043,70.46,-157.42,Robert Hollister,PlantHeight;;
116,Cassiope tetragona,Atqasuk,0.061,70.46,-157.42,Robert Hollister,PlantHeight;;
117,Cassiope tetragona,Barrow, Alaska,0.057,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
118,Cassiope tetragona,Barrow, Alaska,0.082,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
119,Cassiope tetragona,Latnjajaure Sweden,0.084,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
120,Cassiope tetragona,Kluane,0.103,61.10549,-138.6618,Isla Myers-Smith,PlantHeight;;
121,Cassiope tetragona,Kytalyk Ridge,0.07,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
122,Cassiope tetragona,Abisko,1.455919395,68.32305,18.86583,Mariska Te Beest,SLA;;
123,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
124,Cassiope tetragona,Qikiqtaruk-Herschel Island,4.867692308,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,SLA;;
125,Cassiope tetragona,Atqasuk,0.07,70.46,-157.42,Robert Hollister,PlantHeight;;
126,Cassiope tetragona,Pika Camp,0.125,61.21649,-138.28606,Haydn Thomas,PlantHeight;;
127,Cassiope tetragona,Barrow, Alaska,0.058,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
128,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
129,Cassiope tetragona,BobHollisterSeeds,1.36e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
130,Cassiope tetragona,Latnjajaure Sweden,0.129,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
131,Cassiope tetragona,Kytalyk Ridge,0.06,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
132,Cassiope tetragona,Pika Camp,0.062,61.21883,-138.24579,Haydn Thomas,PlantHeight;;
133,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.121,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
134,Cassiope tetragona,Kytalyk Ridge,0.1,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
135,Cassiope tetragona,Pika Camp,0.148,61.21649,-138.28606,Haydn Thomas,PlantHeight;;
136,Cassiope tetragona,Latnjajaure Sweden,0.052,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
137,Cassiope tetragona,Pika Camp,0.082,61.21649,-138.28606,Haydn Thomas,PlantHeight;;
138,Cassiope tetragona,Atqasuk,0.086,70.46,-157.42,Robert Hollister,PlantHeight;;
139,Cassiope tetragona,Qikiqtaruk-Herschel Island,8.142692308,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,SLA;;
140,Cassiope tetragona,Latnjajaure Sweden,0.062,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
141,Cassiope tetragona,Latnjajaure Sweden,0.034,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
142,Cassiope tetragona,BobHollisterSeeds,2.66e-06,71.31502696,-156.6010247,BobHollisterSeeds,SeedMass;;
143,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
144,Cassiope tetragona,Atqasuk,0.005,70.46,-157.42,Robert Hollister,PlantHeight;;
145,Cassiope tetragona,Abisko & Sheffield Database,7.35373953988935,68.33,18.85,Johannes Cornelissen,SLA;;
146,Cassiope tetragona,BobHollisterSeeds,2.125e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
147,Cassiope tetragona,Kytalyk Ridge,0.06,70.83,147.47,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
148,Cassiope tetragona,Abisko,4.611333333,68.355968,18.722872,Martin Hallinger,SLA;;
149,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.115,69.58015,-138.92355,Haydn Thomas,PlantHeight;;
150,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.059,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
151,Cassiope tetragona,Kytalyk Ridge,0.118,70.827512,147.46585,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,SLA;
152,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
153,Cassiope tetragona,Atqasuk,0.075,70.46,-157.42,Robert Hollister,PlantHeight;;
154,Cassiope tetragona,Atqasuk,0.038,70.46,-157.42,Robert Hollister,PlantHeight;;
155,Cassiope tetragona,Abisko,1.936781609,68.32305,18.86583,Mariska Te Beest,SLA;;
156,Cassiope tetragona,Tundra Plant Traits Database,0.1,NA,NA,F. Stuart III Chapin,PlantHeight;;
157,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
158,Cassiope tetragona,Abisko & Sheffield Database,0.1,68.33,18.85,Johannes Cornelissen,PlantHeight;;
159,Cassiope tetragona,Abisko,5,68.355968,18.722872,Martin Hallinger,SLA;;
160,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
161,Cassiope tetragona,Abisko,5.353636364,68.355968,18.722872,Martin Hallinger,SLA;;
162,Cassiope tetragona,Abisko,0.09,68.32305,18.86583,Mariska Te Beest,PlantHeight;;
163,Cassiope tetragona,Abisko & Sheffield Database,0.1,68.33,18.85,Johannes Cornelissen,PlantHeight;;
164,Cassiope tetragona,Kytalyk Ridge,0.06,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
165,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
166,Cassiope tetragona,Kytalyk Ridge,0.09,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
167,Cassiope tetragona,Kytalyk Ridge,0.05,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
168,Cassiope tetragona,Latnjajaure Sweden,0.093,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
169,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
170,Cassiope tetragona,The Global Leaf Traits,7.3537395399,68.34,18.84,Serge Sheremetev,SLA;;
171,Cassiope tetragona,Qikiqtaruk-Herschel Island,4.642857143,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,SLA;;
172,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.108,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
173,Cassiope tetragona,Kluane Plateau,0.09,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
174,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.066,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
175,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
176,Cassiope tetragona,Atqasuk,0.061,70.46,-157.42,Robert Hollister,PlantHeight;;
177,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.087,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
178,Cassiope tetragona,Latnjajaure Sweden,0.086,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
179,Cassiope tetragona,Pika Camp,0.137,61.21649,-138.28606,Haydn Thomas,PlantHeight;;
180,Cassiope tetragona,Herschel Island,11.76470588,69.5749,-138.8631,Isla Myers-Smith,SLA;;
181,Cassiope tetragona,Abisko,4.600625,68.355968,18.722872,Martin Hallinger,SLA;;
182,Cassiope tetragona,Kluane,9.857142857,61.10549,-138.6618,Isla Myers-Smith,SLA;;
183,Cassiope tetragona,Atqasuk,0.057,70.46,-157.42,Robert Hollister,PlantHeight;;
184,Cassiope tetragona,Barrow, Alaska,0.057,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
185,Cassiope tetragona,Barrow, Alaska,0.08,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
186,Cassiope tetragona,Kytalyk Ridge,0.13,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
187,Cassiope tetragona,Latnjajaure Sweden,0.089,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
188,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
189,Cassiope tetragona,Qikiqtaruk-Herschel Island,6.846153846,69.57795,-138.92172,Haydn Thomas, Isla Myers-Smith,SLA;;
190,Cassiope tetragona,Qikiqtaruk-Herschel Island,4.433333333,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,SLA;;
191,Cassiope tetragona,LucieSmrzovaSvalbard,0.017,NA,NA,LucieSmrzova,SeedMass;;
192,Cassiope tetragona,Kytalyk Ridge,0.14,70.83,147.45,Maitane Iturrate Garcia; Gabriela Schaepman-Strub,PlantHeight;
193,Cassiope tetragona,Abisko,4.204545455,68.355968,18.722872,Martin Hallinger,SLA;;
194,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.09,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
195,Cassiope tetragona,Atqasuk,0.057,70.46,-157.42,Robert Hollister,PlantHeight;;
196,Cassiope tetragona,Kilpisjarvi, Finland,0.086,69.05181302,20.82079527,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
197,Cassiope tetragona,Latnjajaure Sweden,0.086,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
198,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.078,69.57549,-139.21977,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
199,Cassiope tetragona,Abisko,2.004987531,68.32305,18.86583,Mariska Te Beest,SLA;;
200,Cassiope tetragona,Barrow, Alaska,0.036,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
201,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
202,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.106,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
203,Cassiope tetragona,The Global Leaf Traits,4,67.5,-152.5,Serge Sheremetev,SLA;;
204,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
205,Cassiope tetragona,Atqasuk,0.041,70.46,-157.42,Robert Hollister,PlantHeight;;
206,Cassiope tetragona,Abisko,1.972081218,68.32305,18.86583,Mariska Te Beest,SLA;;
207,Cassiope tetragona,Latnjajaure Sweden,0.115,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
208,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.121,69.58015,-138.92355,Haydn Thomas,PlantHeight;;
209,Cassiope tetragona,BobHollisterSeeds,2.49e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
210,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
211,Cassiope tetragona,Barrow, Alaska,0.062,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
212,Cassiope tetragona,Atqasuk,0.036,70.46,-157.42,Robert Hollister,PlantHeight;;
213,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
214,Cassiope tetragona,Qikiqtaruk-Herschel Island,5.7,69.57795,-138.92172,Haydn Thomas, Isla Myers-Smith,SLA;;
215,Cassiope tetragona,Abisko,0.4,68.355968,18.722872,Martin Hallinger,SeedMass;;
216,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
217,Cassiope tetragona,Atqasuk,0.084,70.46,-157.42,Robert Hollister,PlantHeight;;
218,Cassiope tetragona,Atqasuk,0.065,70.46,-157.42,Robert Hollister,PlantHeight;;
219,Cassiope tetragona,Qikiqtaruk-Herschel Island,2.205882353,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,SLA;;
220,Cassiope tetragona,LucieSmrzovaSvalbard,0.008,NA,NA,LucieSmrzova,SeedMass;;
221,Cassiope tetragona,Atqasuk,0.052,70.46,-157.42,Robert Hollister,PlantHeight;;
222,Cassiope tetragona,Kluane,15.86666667,61.10549,-138.6618,Isla Myers-Smith,SLA;;
223,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,9.04731747037004,75,-84,Ian Wright,SLA;;
224,Cassiope tetragona,Atqasuk,0.035,70.46,-157.42,Robert Hollister,PlantHeight;;
225,Cassiope tetragona,Herschel Island,13,69.5749,-138.8631,Isla Myers-Smith,SLA;;
226,Cassiope tetragona,Latnjajaure Sweden,0.088,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
227,Cassiope tetragona,Atqasuk,0.057,70.46,-157.42,Robert Hollister,PlantHeight;;
228,Cassiope tetragona,Abisko,3.888947368,68.355968,18.722872,Martin Hallinger,SLA;;
